client_id_externe;nom_complet;telephone_principal;telephone_secondaire;sexe;date_naissance;secteur_principal;sous_secteur;revenu_mensuel_estime;annees_experience;niveau_education;situation_familiale;nombre_personnes_charge;zone_id;agence_code;adresse_activite;marche_principal;frequence_marche;latitude_activite;longitude_activite;agent_email;nb_collectes_12m;montant_total_collectes_12m;regularite_collecte_pct;taux_remboursement_pct;jours_retard_moyen;jours_retard_max;nb_incidents_paiement;montant_impaye_courant;date_premier_pret;montant_pret_actif;encours_restant;nb_prets_total
CLF011;Laurette KOUMBA MVOGO;+237 698 11 22 33;;F;1986-10-20;COMMERCE;Prêt-à-porter;215000;10;SECONDAIRE;MARIE;3;DLA-BASSA;Agence Douala Bassa;Akwa, Douala;Marché Central Douala;QUOTIDIEN;4.048000;9.700000;renekomtsindi99@gmail.com;24;6450000;0.91;0.96;2.2;7;1;0;2025-01-15;1720000;774000;2
CLF012;Blaise ABENA FOUDA;+237 675 22 33 44;;M;1966-03-05;ELEVAGE;Porciculture;325000;15;PRIMAIRE;MARIE;8;YDE-NLONGKAK;Agence Yaoundé Nlongkak;Nkolbisson, Yaoundé;Ferme Nkolbisson;MENSUEL;3.845000;11.490000;renekomtsindi99@gmail.com;24;9750000;0.93;0.97;1.5;5;0;0;2025-01-15;2600000;1170000;2
CLF013;Delphine ETOA BIYONG;+237 655 33 44 55;;F;1995-07-14;COMMERCE;Restaurant de rue;168000;5;SECONDAIRE;CELIBATAIRE;2;YDE-NLONGKAK;Agence Yaoundé Nlongkak;Elig-Essono, Yaoundé;Carrefour Elig-Essono;QUOTIDIEN;3.876000;11.522000;renekomtsindi99@gmail.com;24;5040000;0.92;0.96;1.8;6;0;0;2025-02-01;1344000;604800;1
CLF014;Bruno ZANG ONANA;+237 699 44 55 66;;M;1984-11-30;TRANSPORT;Transport de marchandises;385000;13;SECONDAIRE;MARIE;4;DLA-BASSA;Agence Douala Bassa;Bassa, Douala;;QUOTIDIEN;4.078000;9.670000;renekomtsindi99@gmail.com;24;11550000;0.90;0.95;2.0;8;1;0;2025-01-15;3080000;1386000;3
CLF015;Victorine NGUELE MBIDA;+237 677 55 66 77;;F;1977-04-18;AGRICOLE;Culture maïs-plantain;180000;16;AUCUN;VEUF;5;YDE-SUD;Agence Yaoundé Nlongkak;Soa, Yaoundé;Marché Madagascar;HEBDOMADAIRE;3.836000;11.498000;renekomtsindi99@gmail.com;24;5400000;0.93;0.97;1.0;4;0;0;2025-01-15;1440000;648000;2
CLF016;Serge AWONO ESSANG;+237 655 66 77 88;;M;1988-08-22;ARTISANAT;Soudure;208000;12;SECONDAIRE;MARIE;3;YDE-NLONGKAK;Agence Yaoundé Nlongkak;Ntaba, Yaoundé;Zone industrielle;HEBDOMADAIRE;3.858000;11.508000;renekomtsindi99@gmail.com;24;6240000;0.94;0.98;0.9;3;0;0;2025-01-15;1664000;748800;2
CLF017;Marthe MBIDA ATANGANA;+237 690 77 88 99;;F;1992-01-09;COMMERCE;Vente cosmétiques;143000;6;SECONDAIRE;CELIBATAIRE;1;DLA-BASSA;Agence Douala Bassa;New-Bell, Douala;Marché New-Bell;QUOTIDIEN;4.042000;9.710000;renekomtsindi99@gmail.com;24;4290000;0.91;0.95;2.3;7;1;0;2025-02-01;1144000;514800;1
CLF018;Aristide TIOKOU BELLO;+237 677 88 99 00;;M;1980-05-16;SERVICES;Photocopie / Internet café;198000;11;SUPERIEUR;MARIE;4;YDE-EST;Agence Yaoundé Nlongkak;Ngoa-Ekele, Yaoundé;Campus Univ. Ydé I;QUOTIDIEN;3.884000;11.526000;renekomtsindi99@gmail.com;24;5940000;0.92;0.96;1.5;5;0;0;2025-01-15;1584000;712800;2
CLF019;Cécile ABONDO NGONO;+237 699 99 00 11;;F;1969-09-03;ELEVAGE;Aviculture industrielle;455000;21;SECONDAIRE;VEUF;3;DLA-BASSA;Agence Douala Bassa;Logpom, Douala;Ferme Logpom;MENSUEL;4.060000;9.732000;renekomtsindi99@gmail.com;24;13650000;0.95;0.98;0.5;2;0;0;2025-01-15;3640000;1638000;2
CLF020;Pascal BELINGA AKOUMA;+237 655 00 11 22;;M;1985-12-25;TRANSPORT;Taxi inter-urbain;292000;10;SECONDAIRE;MARIE;5;YDE-NORD;Agence Yaoundé Nlongkak;Obili, Yaoundé;;QUOTIDIEN;3.898000;11.512000;renekomtsindi99@gmail.com;24;8760000;0.91;0.96;2.0;7;1;0;2025-01-15;2336000;1051200;2
CLF021;Henriette MEDJO ABENA;+237 670 11 22 33;;F;1997-06-11;COMMERCE;Vente de poisson fumé;126000;5;PRIMAIRE;CELIBATAIRE;1;YDE-NLONGKAK;Agence Yaoundé Nlongkak;Mvog-Ada, Yaoundé;Marché Mvog-Ada;QUOTIDIEN;3.863000;11.517000;renekomtsindi99@gmail.com;9;1701000;0.75;0.75;15.4;38;3;100800;2025-04-01;756000;567000;1
CLF022;Fidèle OWONO NGUEMA;+237 699 22 33 44;;M;1972-02-14;ARTISANAT;Tailleur confection;218000;19;SECONDAIRE;MARIE;6;DLA-BASSA;Agence Douala Bassa;Bonanjo, Douala;Marché Sandaga;QUOTIDIEN;4.047000;9.705000;renekomtsindi99@gmail.com;9;2943000;0.72;0.73;18.2;38;3;174400;2025-04-01;1308000;981000;1
CLF023;Gisèle NKOA BEYALA;+237 677 33 44 55;;F;1990-10-07;SERVICES;Papeterie / photocopie;148000;7;SECONDAIRE;MARIE;2;YDE-NLONGKAK;Agence Yaoundé Nlongkak;Bastos, Yaoundé;Centre-ville Yaoundé;QUOTIDIEN;3.868000;11.516000;renekomtsindi99@gmail.com;9;1998000;0.70;0.71;19.5;38;4;118400;2025-04-01;888000;666000;1
CLF024;Dieudonné MVOGO ESSOLA;+237 655 44 55 66;;M;1978-07-19;PECHE;Pisciculture;188000;11;PRIMAIRE;MARIE;7;YDE-SUD;Agence Yaoundé Nlongkak;Djoungolo, Yaoundé;Rivière Mfoundi;MENSUEL;3.842000;11.495000;renekomtsindi99@gmail.com;9;2538000;0.74;0.76;16.0;38;2;150400;2025-04-01;1128000;846000;1
CLF025;Annette EBONGUE MENDO;+237 690 55 66 77;;F;1993-03-28;COMMERCE;Épicerie;158000;6;SECONDAIRE;MARIE;3;DLA-BASSA;Agence Douala Bassa;Bepanda, Douala;Quartier Bepanda;QUOTIDIEN;4.074000;9.692000;renekomtsindi99@gmail.com;9;2133000;0.73;0.76;14.8;35;2;126400;2025-04-01;948000;711000;1
CLF026;Norbert ESSAMA BIYONG;+237 677 66 77 88;;M;1982-09-03;COMMERCE;Téléphonie mobile;172000;10;SECONDAIRE;MARIE;4;YDE-NLONGKAK;Agence Yaoundé Nlongkak;Nlongkak, Yaoundé;Carrefour Nlongkak;QUOTIDIEN;3.872000;11.519000;renekomtsindi99@gmail.com;9;2322000;0.78;0.80;12.0;30;2;0;2025-04-01;1032000;774000;1
CLF027;Patience KENGNE FOUDA;+237 699 77 88 99;;F;1996-12-15;AGRICOLE;Maraîchage / jardinage;108000;4;PRIMAIRE;CELIBATAIRE;1;DLA-BASSA;Agence Douala Bassa;Bassa Sud, Douala;Marché Bassa;HEBDOMADAIRE;4.053000;9.718000;renekomtsindi99@gmail.com;9;1458000;0.68;0.72;20.0;40;3;86400;2025-05-01;648000;486000;1
CLF028;Théodore NKEMBI MVONDO;+237 655 88 99 00;;M;1975-04-20;TRANSPORT;Transport informel;142000;8;SECONDAIRE;MARIE;5;YDE-EST;Agence Yaoundé Nlongkak;Nkol-Afeme, Yaoundé;;QUOTIDIEN;3.882000;11.524000;renekomtsindi99@gmail.com;4;852000;0.33;0.22;72.0;95;6;554280;2025-02-01;710000;549750;1
CLF029;Alice FOUDA ATANGANA;+237 677 99 00 11;;F;1988-08-08;COMMERCE;Vente en gros vivriers;195000;7;SECONDAIRE;MARIE;6;DLA-BASSA;Agence Douala Bassa;Bassa Centre, Douala;Marché Bassa;QUOTIDIEN;4.056000;9.715000;renekomtsindi99@gmail.com;4;1170000;0.35;0.23;80.0;95;5;760500;2025-02-01;975000;731250;1
CLF030;Rodrigue ONANA BELINGA;+237 699 00 11 22;;M;1983-02-14;ARTISANAT;Mécanique auto;225000;9;SECONDAIRE;MARIE;3;YDE-NLONGKAK;Agence Yaoundé Nlongkak;Nlongkak Garage, Yaoundé;Garage Nlongkak;QUOTIDIEN;3.869000;11.521000;renekomtsindi99@gmail.com;4;1350000;0.34;0.22;85.0;95;7;877500;2025-02-01;1125000;843750;1
